input	prediction
exanthem	B-Disease_or_Syndrome
,	O
cracked	B-Finding
lips	I-Finding
,	O
cervical	B-Disease_or_Syndrome
lymphadenopathy	I-Disease_or_Syndrome
)	O
are	O
consistent	O
with	O
Kawasaki	B-Disease_or_Syndrome
disease	I-Disease_or_Syndrome
.	O
<EOS>	----
Improving	O
with	O
better	O
PO	O
,	O
resolution	O
of	O
rash	B-Sign_or_Symptom
and	O
conjunctivitis	B-Disease_or_Syndrome
,	O
and	O
disposition	O
per	O
parents	O
,	O
but	O
continuing	O
to	O
experience	O
intermittent	B-Temporal_Concept
fevers	B-Sign_or_Symptom
.	O
<EOS>	----
Currently	O
requires	O
an	O
inpatient	O
level	O
of	O
care	O
for	O
rehydration	B-Therapeutic_or_Preventive_Procedure
and	O
evaluation	B-Health_Care_Activity
of	O
possible	O
Kawasaki	B-Disease_or_Syndrome
disease	I-Disease_or_Syndrome
incl	O
.	O
<EOS>	----
inflammatory	B-Laboratory_Procedure
markers	I-Laboratory_Procedure
and	O
echocardiogram	B-Diagnostic_Procedure
.	O
<EOS>	----
#	O
CV	O
:	O
HDS	O
<EOS>	----
[	O
]	O
AM	O
Echo	B-Diagnostic_Procedure
<EOS>	----
#	O
Resp	O
:	O
SORA	O
<EOS>	----
#	O
FEN	O
/	O
GI	O
<EOS>	----
-	O
POAL	O
<EOS>	----
#	O
Rheum	O
<EOS>	----
-	O
Rheum	O
consulted	O
,	O
appreciate	O
recs	O
<EOS>	----
-	O
MIS	B-CUI_less
-	O
C	I-CUI_less
labs	B-Laboratory_Procedure
repeated	O
6	O
/	O
8	O
<EOS>	----
#	O
ID	O
<EOS>	----
-	O
COVID	B-Diagnostic_Procedure
PCR	I-Diagnostic_Procedure
and	O
Ab	B-Laboratory_Procedure
NEG	O
<EOS>	----
-	O
RVP	B-Organ_or_Tissue_Function
NEG	O
<EOS>	----
[	O
]	O
Follow	O
-	O
up	O
blood	B-Laboratory_Procedure
cultures	I-Laboratory_Procedure
<EOS>	----
#	O
Dispo	O
<EOS>	----
-	O
Pending	O
KD	B-Disease_or_Syndrome
work	B-CUI_less
-	I-CUI_less
up	I-CUI_less
and	O
rehydration	B-Therapeutic_or_Preventive_Procedure
<EOS>	----
End of note1.txt	----------


Chief	O
Complaint	O
<EOS>	----
Fever	B-Sign_or_Symptom
(	O
Complaint	O
of	O
)	O
<EOS>	----
Arrival	O
Date	O
/	O
Time	O
:	O
11	O
/	O
30	O
/	O
2020	O
15	O
:	O
50	O
:	O
00	O
<EOS>	----
History	O
of	O
Present	O
Illness	O
<EOS>	----
20	O
-	O
year	O
-	O
old	O
previously	O
well	O
here	O
for	O
feeling	O
sick	B-Sign_or_Symptom
since	O
yesterday	O
.	O
<EOS>	----
Since	O
yesterday	O
patient	O
with	O
several	O
episodes	O
of	O
vomiting	B-Sign_or_Symptom
(	O
not	O
bloody	B-CUI_less
or	O
bilious	B-CUI_less
)	O
,	O
few	O
episodes	O
of	O
nonbloody	B-Pathologic_Function
diarrhea	I-Pathologic_Function
,	O
mild	B-Qualitative_Concept
cough	B-Sign_or_Symptom
,	O
diffuse	B-Spatial_Concept
myalgias	B-Sign_or_Symptom
,	O
sore	B-Sign_or_Symptom
throat	I-Sign_or_Symptom
,	O
headache	B-Sign_or_Symptom
(	O
frontal	O
and	O
pounding	O
-	O
no	O
prior	O
h	O
/	O
o	O
migraines	B-Disease_or_Syndrome
,	O
neg	O
FH	O
migraine	B-Disease_or_Syndrome
)	O
,	O
""""	O
everything	O
hurts	O
""""	O
.	O
no	O
significant	B-Idea_or_Concept
nasal	B-Finding
congestion	I-Pathologic_Function
,	O
minimal	B-Qualitative_Concept
cough	B-Sign_or_Symptom
.	O
<EOS>	----
Some	B-Quantitative_Concept
diffuse	B-Spatial_Concept
chest	B-Sign_or_Symptom
discomfort	I-Sign_or_Symptom
-	O
not	O
clearly	B-CUI_less
pleuritic	B-Disease_or_Syndrome
,	O
no	O
palpitations	B-Finding
.	O
<EOS>	----
Also	O
with	O
diffuse	B-Spatial_Concept
abdominal	B-Sign_or_Symptom
pain	I-Sign_or_Symptom
-	O
somewhat	B-CUI_less
colicky	B-Sign_or_Symptom
and	O
moving	O
around	O
.	O
<EOS>	----
Decreased	B-Finding
p.o	I-Finding
.	I-Finding
's	I-Finding
,	O
decreased	B-Disease_or_Syndrome
urine	I-Disease_or_Syndrome
output	I-Disease_or_Syndrome
.	O
<EOS>	----
Patient	O
feels	O
lightheaded	B-Sign_or_Symptom
when	O
standing	O
.	O
<EOS>	----
Unclear	O
if	O
ill	O
contacts	O
-	O
he	O
was	O
with	O
someone	O
yesterday	O
who	O
was	O
sick	O
last	O
week	O
.	O
<EOS>	----
Patient	O
sexually	O
active	O
but	O
denies	O
discharge	O
.	O
<EOS>	----
Family	O
History	O
:	O
Reviewed	O
and	O
no	O
pertinent	O
related	O
family	O
hx	O
pertaining	O
to	O
this	O
visit	O
<EOS>	----
Social	O
History	O
:	O
Lives	O
with	O
family	O
<EOS>	----
Immunizations	O
:	O
Up	O
to	O
date	O
<EOS>	----
Review	O
of	O
Systems	O
<EOS>	----
Pertinent	O
positives	O
and	O
negatives	O
noted	O
above	O
in	O
HPI	O
.	O
All	O
other	O
systems	O
of	O
a	O
10	O
system	O
review	B-CUI_less
are	O
negative	O
.	O
<EOS>	----
Physical	O
Exam	O
<EOS>	----
Temperature	B-Health_Care_Activity
:	O
36.7	O
DegC	O
(	O
11	O
/	O
30	O
/	O
20	O
16	O
:	O
12	O
:	O
00	O
)	O
<EOS>	----
Systolic	B-Health_Care_Activity
Blood	I-Health_Care_Activity
Pressure	I-Health_Care_Activity
:	O
112	O
mmHg	O
(	O
11	O
/	O
30	O
/	O
20	O
16	O
:	O
12	O
:	O
00	O
)	O
<EOS>	----
Diastolic	B-Health_Care_Activity
Blood	I-Health_Care_Activity
Pressure	I-Health_Care_Activity
:	O
68	O
mmHg	O
(	O
11	O
/	O
30	O
/	O
20	O
16	O
:	O
12	O
:	O
00	O
)	O
<EOS>	----
Heart	B-Health_Care_Activity
Rate	I-Health_Care_Activity
:	O
104	O
bpm	O
High	O
(	O
11	O
/	O
30	O
/	O
20	O
16	O
:	O
12	O
:	O
00	O
)	O
<EOS>	----
Respiratory	B-Health_Care_Activity
Rate	I-Health_Care_Activity
:	O
18	O
br	O
/	O
min	O
(	O
11	O
/	O
30	O
/	O
20	O
16	O
:	O
12	O
:	O
00	O
)	O
<EOS>	----
Oxygen	B-Laboratory_Procedure
Saturation	I-Laboratory_Procedure
(	O
SPO2	B-Laboratory_Procedure
)	O
:	O
99	O
%	O
(	O
11	O
/	O
30	O
/	O
20	O
16	O
:	O
12	O
:	O
00	O
)	O
<EOS>	----
My	B-Health_Care_Activity
examination	I-Health_Care_Activity
revealed	O
the	O
patient	O
to	O
be	O
tired	B-Sign_or_Symptom
appearing	O
,	O
somewhat	B-CUI_less
uncomfortable	B-Sign_or_Symptom
but	O
nontoxic	B-Qualitative_Concept
,	O
in	O
no	B-CUI_less
acute	I-CUI_less
distress	I-CUI_less
.	O
<EOS>	----
HEENT	O
:	O
eomi	O
perrl	O
.	O
op	O
clear	O
with	O
no	O
signif	B-CUI_less
tonsillar	B-Finding
enlargement	I-Finding
or	O
discharge	B-Finding
<EOS>	----
NECK	O
:	O
supple	O
,	O
FROM	O
.	O
tender	B-CUI_less
musculature	O
posteriorly	O
;	O
no	O
meningismus	B-Sign_or_Symptom
.	O
<EOS>	----
LUNGS	O
:	O
clear	O
and	O
equal	O
BS	O
.	O
<EOS>	----
CHEST	O
wall	O
:	O
diffusely	B-Spatial_Concept
tender	B-Finding
to	O
palpation	B-Diagnostic_Procedure
that	O
pt	O
reports	O
reproduces	O
his	B-Sign_or_Symptom
pain	I-Sign_or_Symptom
<EOS>	----
COR	O
:	O
slt	B-Finding
tachy	B-Finding
,	O
RR	B-Health_Care_Activity
,	O
no	O
abnormal	B-Finding
cardiac	I-Finding
sounds	I-Finding
<EOS>	----
ABD	O
:	O
soft	O
,	O
diffuse	B-Spatial_Concept
tenderness	B-Sign_or_Symptom
.	O
no	O
guarding	B-Sign_or_Symptom
/	O
rebound	B-Sign_or_Symptom
.	O
<EOS>	----
GU	O
:	O
pt	O
reports	O
tenderness	B-Sign_or_Symptom
of	O
entire	B-Body_Part,_Organ,_or_Organ_Component
scrotum	B-Body_Location_or_Region
/	O
testes	B-Body_Part,_Organ,_or_Organ_Component
but	O
no	O
different	O
from	O
entire	B-Sign_or_Symptom
body	B-Sign_or_Symptom
aches	I-Sign_or_Symptom
.	O
<EOS>	----
EXT	O
:	O
MAE	O
spontaneously	O
and	O
equally	O
<EOS>	----
NEURO	O
:	O
nonfocal	O
<EOS>	----
Medical	O
Decision	O
Making	O
<EOS>	----
20	O
-	O
year	O
-	O
old	O
previously	O
well	O
here	O
with	O
1	O
to	O
2	O
days	O
of	O
vomiting	B-Sign_or_Symptom
,	O
and	O
diarrhea	B-Sign_or_Symptom
,	O
sore	B-Sign_or_Symptom
throat	I-Sign_or_Symptom
,	O
headache	B-Sign_or_Symptom
,	O
diffuse	B-Spatial_Concept
myalgias	B-Sign_or_Symptom
/	O
aches	B-Sign_or_Symptom
including	O
abdominal	B-Sign_or_Symptom
pain	I-Sign_or_Symptom
,	O
chest	B-Sign_or_Symptom
pain	I-Sign_or_Symptom
.	O
<EOS>	----
Reproducible	B-Qualitative_Concept
chest	B-Sign_or_Symptom
wall	I-Sign_or_Symptom
tenderness	I-Sign_or_Symptom
,	O
abd	O
not	O
peritoneal	O
,	O
no	O
meningismus	B-Disease_or_Syndrome
and	O
pt	O
reports	O
pain	B-Sign_or_Symptom
with	O
touching	O
anywhere	O
on	O
his	O
body	O
.	O
<EOS>	----
Multiple	B-Quantitative_Concept
symptoms	B-Sign_or_Symptom
likely	O
due	O
to	O
viral	B-Disease_or_Syndrome
illness	I-Disease_or_Syndrome
-	O
no	O
bacterial	B-Finding
source	I-Finding
on	O
exam	B-Health_Care_Activity
however	O
patient	B-Finding
dehydrated	I-Finding
and	O
uncomfortable	B-Sign_or_Symptom
.	O
<EOS>	----
Plan	O
for	O
Covid	B-Pharmacologic_Substance
,	O
rapid	B-CUI_less
strep	I-CUI_less
,	O
fluids	B-Body_Substance
,	O
Zofran	B-Pharmacologic_Substance
,	O
Tylenol	B-Pharmacologic_Substance
,	O
Toradol	B-Pharmacologic_Substance
and	O
reassess	O
.	O
<EOS>	----
If	O
not	O
improved	O
consider	O
further	B-Health_Care_Activity
work	I-Health_Care_Activity
-	I-Health_Care_Activity
up	I-Health_Care_Activity
based	O
on	O
symptoms	B-Sign_or_Symptom
and	O
exam	B-Health_Care_Activity
.	O
<EOS>	----
Reexamination	O
/	O
Reevaluation	O
<EOS>	----
While	O
getting	O
fluid	B-Therapeutic_or_Preventive_Procedure
/	I-Therapeutic_or_Preventive_Procedure
treatment	B-Therapeutic_or_Preventive_Procedure
RN	O
noted	O
a	O
10	O
-	O
second	O
desaturation	B-Pathologic_Function
down	O
to	O
85	O
%	O
with	O
a	O
good	O
tracing	B-Health_Care_Activity
-	O
that	O
self	O
resolved	O
.	O
<EOS>	----
Chest	B-Diagnostic_Procedure
x	I-Diagnostic_Procedure
-	I-Diagnostic_Procedure
ray	I-Diagnostic_Procedure
obtained	O
and	O
negative	O
.	O
<EOS>	----
EKG	B-Diagnostic_Procedure
:	O
Normal	O
sinus	O
rhythm	O
,	O
first	B-Disease_or_Syndrome
-	I-Disease_or_Syndrome
degree	I-Disease_or_Syndrome
heart	I-Disease_or_Syndrome
block	I-Disease_or_Syndrome
,	O
otherwise	O
negative	O
.	O
<EOS>	----
Discussed	O
with	O
cardiology	O
who	O
reviewed	O
EKG	B-Diagnostic_Procedure
:	O
1st	B-Disease_or_Syndrome
degree	I-Disease_or_Syndrome
heart	I-Disease_or_Syndrome
block	I-Disease_or_Syndrome
but	O
no	O
other	B-CUI_less
concerns	O
:	O
Recommended	O
Lyme	B-Laboratory_Procedure
titers	I-Laboratory_Procedure
and	O
repeat	O
as	O
outpatient	O
.	O
<EOS>	----
Labs	B-Laboratory_Procedure
benign	O
as	O
noted	O
.	O
<EOS>	----
With	O
treatment	B-Therapeutic_or_Preventive_Procedure
,	O
normalization	O
of	O
HR	B-Health_Care_Activity
,	O
sat	O
normal	O
after	O
earlier	O
desat	O
and	O
patient	O
with	O
improving	O
clinical	O
course	O
-	O
no	O
chest	B-Sign_or_Symptom
pain	I-Sign_or_Symptom
or	O
shortness	B-Sign_or_Symptom
of	I-Sign_or_Symptom
breath	I-Sign_or_Symptom
,	O
no	O
abdominal	B-Sign_or_Symptom
pain	I-Sign_or_Symptom
,	O
does	O
not	O
feel	O
dizzy	B-Sign_or_Symptom
when	O
standing	O
.	O
<EOS>	----
Headache	B-Sign_or_Symptom
improving	O
but	O
still	O
5	O
out	O
of	O
10	O
.	O
<EOS>	----
Pt	O
alert	O
,	O
improved	O
appearance	O
,	O
HR	B-Health_Care_Activity
80	O
's	O
.	O
,	O
lungs	O
clear	O
,	O
cor	B-Finding
rrr	I-Finding
,	O
abd	B-Finding
soft	O
and	O
nontender	B-Qualitative_Concept
,	O
testes	B-Body_Part,_Organ,_or_Organ_Component
nontender	B-Qualitative_Concept
.	O
<EOS>	----
Plan	O
for	O
Tylenol	B-Pharmacologic_Substance
,	O
p.o	B-Therapeutic_or_Preventive_Procedure
.	I-CUI_less
challenge	B-Therapeutic_or_Preventive_Procedure
and	O
reassessment	B-Health_Care_Activity
.	O
<EOS>	----
Signed	O
out	O
to	O
Dr.	O
B.	O
<EOS>	----
Final	O
Diagnosis	O
<EOS>	----
1	O
.	O
Coronavirus	B-Disease_or_Syndrome
infection	I-Disease_or_Syndrome
B34.2	O
<EOS>	----
2	O
.	O
Fever	B-Sign_or_Symptom
R50.9	O
<EOS>	----
3	O
.	O
Dehydration	B-Finding
E86.0	O
<EOS>	----
Assessment	O
/	O
Plan	O
<EOS>	----
Discharge	O
Instructions	O
<EOS>	----
Dehydration	B-Finding
,	O
Age	O
>	O
1	O
yr	O
<EOS>	----
Dehydration	B-Finding
,	O
Age	O
>	O
1	O
yr	O
<EOS>	----
Fever	B-Sign_or_Symptom
,	O
Age	O
>	O
3	O
yrs	O
<EOS>	----
Coronavirus	B-Disease_or_Syndrome
(	O
COVID	B-Disease_or_Syndrome
-	O
19	O
)	O
,	O
Confirmed	O
<EOS>	----
Follow	O
up	O
<EOS>	----
With	O
<EOS>	----
When	O
<EOS>	----
Contact	O
Information	O
<EOS>	----
Additional	O
Instructions	O
:	O
<EOS>	----
Attending	O
Attestation	O
<EOS>	----
Participated	O
in	O
pt	O
.	O
care	O
:	O
history	O
,	O
MDM	O
<EOS>	----
Personally	O
performed	O
:	O
history	O
,	O
exam	B-CUI_less
<EOS>	----
Case	O
discussed	O
with	O
:	O
colleague	O
<EOS>	----
Procedures	O
:	O
no	O
procedure	O
performed	O
,	O
_	O
,	O
_	O
<EOS>	----
E	O
&	O
M	O
service	O
:	O
agree	O
<EOS>	----
Results	O
Interpretation	O
:	O
agree	O
<EOS>	----
I	O
received	O
signout	O
from	O
my	O
colleague	O
Dr.	O
S	O
at	O
10	O
PM	O
at	O
change	O
of	O
shift	O
.	O
<EOS>	----
In	O
brief	O
,	O
patient	O
is	O
a	O
20	O
-	O
year	O
-	O
old	O
otherwise	O
healthy	O
male	O
who	O
presents	O
today	O
with	O
1	O
day	O
of	O
fever	B-Sign_or_Symptom
,	O
vomiting	B-Sign_or_Symptom
,	O
diarrhea	B-Sign_or_Symptom
,	O
cough	B-Sign_or_Symptom
,	O
myalgia	B-Sign_or_Symptom
,	O
sore	B-Sign_or_Symptom
throat	I-Sign_or_Symptom
and	O
headache	B-Sign_or_Symptom
.	O
<EOS>	----
He	O
states	O
that	O
everything	O
hurts	O
.	O
<EOS>	----
Some	B-Quantitative_Concept
mild	B-Qualitative_Concept
chest	B-Sign_or_Symptom
discomfort	I-Sign_or_Symptom
but	O
no	O
signs	O
of	O
increased	B-Finding
work	I-Finding
of	I-Finding
breathing	I-Finding
.	O
<EOS>	----
Has	O
had	O
some	B-Quantitative_Concept
decreased	B-Finding
p.o	I-Finding
.	I-Finding
intake	I-Finding
but	O
normal	O
urine	O
output	O
.	O
<EOS>	----
No	O
known	O
sick	O
contacts	O
.	O
<EOS>	----
No	O
dysuria	B-Sign_or_Symptom
or	O
penile	B-Finding
discharge	I-Finding
.	O
<EOS>	----
Patient	O
had	O
a	O
brief	O
desat	O
on	O
the	B-Medical_Device
monitor	I-Medical_Device
but	O
otherwise	O
has	O
had	O
stable	O
vital	O
signs	O
.	O
<EOS>	----
His	B-Health_Care_Activity
exam	I-Health_Care_Activity
is	O
reassuring	O
and	O
he	O
is	O
walk	O
around	O
the	O
room	O
in	O
no	B-CUI_less
acute	I-CUI_less
distress	I-CUI_less
.	O
<EOS>	----
He	O
had	O
lab	B-Health_Care_Activity
work	I-Health_Care_Activity
that	O
was	O
done	O
that	O
was	O
significant	O
for	O
normal	O
CBC	O
without	O
leukocytosis	B-Finding
.	O
<EOS>	----
He	O
has	O
normal	O
chemistries	O
and	O
a	O
mildly	B-Qualitative_Concept
elevated	B-Qualitative_Concept
CK	B-Laboratory_Procedure
at	O
204	O
.	O
<EOS>	----
He	O
had	O
a	O
negative	O
rapid	B-CUI_less
strep	I-Laboratory_Procedure
but	O
was	O
found	O
to	O
be	O
Covid	B-Laboratory_Procedure
positive	O
.	O
<EOS>	----
Patient	O
received	O
Toradol	B-Pharmacologic_Substance
,	O
dance	B-CUI_less
drawn	I-CUI_less
,	O
Tylenol	B-Pharmacologic_Substance
and	O
fluids	B-Body_Substance
with	O
improvement	O
of	O
his	B-Sign_or_Symptom
symptoms	I-Sign_or_Symptom
.	O
<EOS>	----
I	O
discussed	O
with	O
this	O
patient	O
over	O
the	O
phone	O
about	O
his	O
Covid	O
positive	O
status	O
and	O
after	O
shared	O
decision	O
making	O
the	O
plan	O
will	O
be	O
for	O
discharge	O
home	O
as	O
the	O
patient	O
is	O
otherwise	O
hemodynamically	O
stable	O
.	O
<EOS>	----
I	O
reviewed	O
strict	B-Qualitative_Concept
return	B-Therapeutic_or_Preventive_Procedure
precautions	I-Therapeutic_or_Preventive_Procedure
with	O
the	O
patient	O
and	O
should	O
prompt	O
a	O
return	O
here	O
to	O
the	O
emergency	O
room	O
versus	O
primary	O
care	O
doctor	O
.	O
<EOS>	----
Urged	O
patient	O
to	O
get	O
a	O
home	B-Spatial_Concept
pulse	B-Health_Care_Activity
ox	I-Health_Care_Activity
if	O
available	O
.	O
<EOS>	----
Patient	O
was	O
able	O
to	O
ambulate	O
here	O
with	O
normal	O
oxygen	O
saturation	O
.	O
<EOS>	----
Urged	O
patient	O
to	O
strictly	O
self	O
quarantine	O
for	O
14	O
days	O
and	O
to	O
answer	O
the	O
phone	O
for	O
contact	O
tracers	O
if	O
they	O
may	O
call	O
.	O
<EOS>	----
Answered	O
the	O
patient	O
's	O
questions	O
over	O
the	O
phone	O
.	O
<EOS>	----
At	O
this	O
time	O
I	O
feel	O
the	O
patient	O
is	O
safe	O
for	O
discharge	O
home	O
with	O
close	O
primary	O
care	O
follow	O
-	O
up	O
and	O
with	O
strict	B-CUI_less
return	B-CUI_less
precautions	I-CUI_less
.	O
<EOS>	----
At	O
this	O
time	O
the	O
patient	O
is	O
stable	O
and	O
safe	O
for	O
discharge	O
home	O
with	O
close	O
primary	O
care	O
follow	O
-	O
up	O
.	O
<EOS>	----
I	O
have	O
counseled	O
parents	O
extensively	O
on	O
signs	B-Sign_or_Symptom
&	I-CUI_less
symptoms	I-Sign_or_Symptom
that	O
should	O
prompt	O
a	O
visit	O
to	O
the	O
primary	O
care	O
doctor	O
or	O
an	O
urgent	O
return	O
here	O
back	O
to	O
the	O
emergency	O
room	O
,	O
including	O
any	B-CUI_less
concerning	B-CUI_less
signs	B-Sign_or_Symptom
or	I-CUI_less
symptoms	I-Sign_or_Symptom
pertaining	O
to	O
the	O
child	O
's	O
diagnosis	O
or	O
any	B-CUI_less
symptoms	I-Sign_or_Symptom
concerning	O
to	O
parents	O
.	O
<EOS>	----
Reviewed	O
home	B-Health_Care_Activity
care	I-Health_Care_Activity
instructions	B-Therapeutic_or_Preventive_Procedure
.	O
<EOS>	----
Caretaker	O
in	O
agreement	O
with	O
plan	O
and	O
all	O
questions	O
were	O
addressed	O
.	O
<EOS>	----
Advised	O
patient	O
to	O
follow	O
up	O
with	O
primary	O
care	O
doctor	O
in	O
24	O
-	O
48	O
hours	O
.	O
<EOS>	----
End of note2.txt	----------


Basic	O
Information	O
<EOS>	----
Time	O
seen	O
:	O
Immediately	O
upon	O
arrival	O
.	O
<EOS>	----
History	O
source	O
:	O
Mother	O
,	O
caretaker	O
.	O
<EOS>	----
History	O
of	O
Present	O
Illness	O
<EOS>	----
Patient	O
is	O
a	O
13	O
yo	O
M	O
w	O
/	O
h	O
/	O
o	O
mitochondiral	B-Disease_or_Syndrome
disease	I-Disease_or_Syndrome
,	O
neuromuscular	B-Disease_or_Syndrome
scoliosis	I-Disease_or_Syndrome
,	O
epilespy	B-Disease_or_Syndrome
,	O
GJ	B-Disease_or_Syndrome
dependence	I-Disease_or_Syndrome
,	O
pancytopenia	B-Disease_or_Syndrome
,	O
nonverbal	B-Finding
,	O
status	O
post	O
spinal	B-Therapeutic_or_Preventive_Procedure
fusion	I-Therapeutic_or_Preventive_Procedure
on	O
8	O
/	O
1	O
presenting	O
with	O
persistent	B-Functional_Concept
tachycardia	B-Finding
since	O
surgery	B-Therapeutic_or_Preventive_Procedure
.	O
<EOS>	----
He	O
was	O
recently	O
admitted	O
6	O
/	O
26	O
-	O
8	O
/	O
02	O
for	O
similar	O
presentation	O
of	O
persistent	B-Functional_Concept
tachycardia	B-Finding
with	O
concern	O
for	O
pain	B-Sign_or_Symptom
.	O
<EOS>	----
During	O
that	O
admission	O
,	O
had	O
extensive	B-Qualitative_Concept
workup	B-CUI_less
including	O
a	O
normal	O
EEG	O
,	O
CXR	B-Diagnostic_Procedure
,	O
